FurID,ZeroTo30,ThirtyOneToSixty,SixtyOneToNinety,NinetyOneToOneTwenty,OneTwentyOneToOneEighty,MoreThanOneEighty
FUR17401585257,1700.1442623,242.8357377000002,0.0,0.0,0.0,0.0
FUR17401597886,0.0,925.74,0.0,0.0,0.0,0.0
FUR17401647697,0.0,0.0,6984.42,6984.42,6984.42,6984.610000000001
FUR17401648339,619.1,0.0,0.0,0.0,0.0,0.0
FUR17401648908,1.03,0.0,0.0,0.0,0.0,0.0
FUR17401694963,734.77,0.0,0.0,0.0,0.0,0.0
FUR17401717971,0.0,0.0,4736.52,4736.52,4736.52,0.3999999999996362
FUR17401740447,2213.1,0.0,0.0,0.0,0.0,0.0
FUR17401776709,0.0,0.0,9390.78,9390.78,9390.78,6081.549999999999
FUR17401778787,0.0,0.0,0.0,0.0,0.0,4451.0
FUR17401780987,0.0,0.0,4752.34,4752.34,4752.34,0.2600000000002183
FUR17401899791,846.15409831,2481.4,2481.4,0.0,2481.4,4116.7159016900005
FUR17401967826,0.0,0.0,0.0,0.0,1550.52,0.01999999999998181
FUR17401969715,0.0,0.0,4677.5199999999995,4677.220000000001,0.0,0.0
FUR17401988296,0.0,0.0,0.0,0.0,693.84,1.3600000000000136
FUR17402015755,2436.99,0.0,0.0,0.0,0.0,0.0
FUR17402017677,1055.5131147,3168.3,2113.0768853,0.0,0.0,0.0
FUR17402027376,0.0,0.0,0.0,0.0,521.56,0.4800000000000182
FUR17402036982,500.85,0.0,0.0,0.0,0.0,0.0
FUR17402047095,619.56,0.0,0.0,0.0,0.0,0.0
FUR17402060323,7488.9544262,4308.14,617.2655737999996,0.0,0.0,0.0
FUR17402080597,619.5,0.0,0.0,0.0,0.0,0.0
FUR17402081050,4517.040000000001,0.0,0.0,0.0,0.0,0.0
FUR17402096714,0.0,0.0,0.0,0.0,0.0,160.39
FUR17402116658,0.0,0.0,541.62,541.62,1082.8,0.0
FUR17402134602,1366.88,0.0,0.0,0.0,0.0,0.0
FUR17402135953,0.0,0.0,0.0,897.84,0.0,0.0
FUR17402136151,0.0,329.41,0.0,0.0,0.0,0.0
FUR17402144976,0.0,0.0,3380.48,3380.48,3380.48,1782.7199999999993
FUR17402146938,1521.7099999999998,0.0,0.0,0.0,0.0,0.0
FUR17402150882,0.0,0.0,0.0,0.0,1022.86,0.0
FUR17402174495,2103.94,0.0,0.0,0.0,0.0,0.0
FUR17402221928,0.0,0.0,0.0,0.0,0.0,133.0
FUR17402224643,1319.91,0.0,0.0,0.0,0.0,0.0
FUR17402231009,2993.922459,901.927541,0.0,0.0,0.0,0.0
FUR17402244047,0.0,0.0,85.2,0.0,0.0,0.0
FUR17402245852,706.1700000000001,0.0,0.0,0.0,0.0,0.0
FUR17402249135,0.0,619.5,619.5,0.0,619.03,0.0
FUR17402249858,2498.6134426,603.3265574,0.0,0.0,0.0,0.0
FUR17402261801,0.0,0.0,0.0,0.0,323.6836,0.0
FUR17402262030,952.2996721,692.75,699.74,0.0,453.8903279000001,0.0
FUR17402272542,0.0,0.0,0.0,0.0,2326.72,0.0
FUR17402281695,5469.70426213,2911.0857378700007,0.0,0.0,0.0,0.0
FUR17402283266,0.0,0.0,3158.8599999999997,3158.8599999999997,3158.8599999999997,0.930000000000291
FUR17402324702,0.0,0.0,0.0,0.0,2478.0,0.0
FUR17402325362,509.26,0.0,0.0,0.0,0.0,0.0
FUR17402330779,0.0,0.0,9150.54,9150.54,9150.02,0.0
FUR17402348894,525.0,0.0,0.0,0.0,0.0,0.0
FUR17402349495,0.0,0.0,692.14,692.14,820.2999999999997,0.0
FUR17402352809,0.0,0.0,0.0,0.0,0.0,1361.42
FUR17402353842,108.46,0.0,0.0,0.0,0.0,0.0
FUR17402362907,0.0,0.0,0.0,758.74,1516.9999999999995,0.0
FUR17402365110,0.0,0.0,10457.5,10457.5,10457.5,10456.93
FUR17402390758,732.5809836,1050.8290164000002,0.0,0.0,0.0,0.0
FUR17402391441,0.0,0.0,2866.2200000000003,0.0,2722.9299999999994,0.0
FUR17402419034,2.24,0.0,0.0,0.0,0.0,0.0
FUR17402426563,0.0,0.0,0.0,0.0,0.0,4737.71
FUR17402430224,743.55,0.0,0.0,0.0,0.0,0.0
